,bic_score,aic_score
0,-34185897.37780057,-34213481.11455264
1,-14857341.27890887,-14882470.606977155
2,-5046909.557024986,-5069264.9209675
3,-5025347.60784186,-5047107.180489547
4,-31408029.550209295,-31435418.347609635
5,-30489257.181700923,-30516390.966805454
6,-15220564.17139202,-15245693.499460306
7,-20963033.24725829,-20989221.54323513
8,-16283554.670256563,-16308888.838160293
9,-21046966.285459746,-21073154.581436586
10,-16382068.142525973,-16407499.663413666
11,-23670229.625843998,-23696832.87502775
12,-24501010.747439835,-24527974.989121653
13,-32682770.16636391,-32710744.553322256
14,-37396152.558708854,-37424323.64009287
15,-22738856.355277088,-22765647.182619754
16,-18224766.83924152,-18250383.98306909
17,-21079819.355286848,-21106007.651263688
18,-15571269.677202316,-15596503.191399122
19,-15819062.133383933,-15844295.64758074
20,-23835880.363239676,-23862283.379260745
21,-12355844.00576223,-12380389.3009669
22,-21702886.466900155,-21729148.075243775
23,-24855961.498312227,-24882562.166699238
24,-32057460.768746294,-32084752.236922182
25,-7996225.836251892,-8019502.050176541
26,-10734800.827930965,-10759822.180463707
27,-31360565.192817114,-31388148.929569185
28,-8295922.852315654,-8319390.681109561
29,-39690755.09487964,-39718849.05504453
30,-9327475.152933527,-9351278.670453513
31,-15869939.746759443,-15895273.914663173
32,-14409269.989283904,-14434503.50348071
33,-12147862.225948844,-12172883.578481587
34,-38611947.56589335,-38639839.47532587
35,-12870385.718766429,-12895178.573968038
36,-13094608.221671667,-13119279.876371546
37,-8466254.064124199,-8489901.887420278
38,-25853621.719908174,-25880531.32308931
39,-17343532.92554586,-17369058.70831885
40,-20319309.530404314,-20345266.35856453
41,-16271324.80361413,-16296756.324501824
42,-7865702.786590356,-7888774.16067956
43,-18937349.08290188,-18963054.86017704
44,-8303517.155670785,-8326793.3695954345
45,-11434422.371142462,-11458697.571137639
46,-23719498.868986454,-23746036.862796158
47,-12587406.735912986,-12612078.390612865
48,-13336485.467181906,-13361157.121881785
49,-12183083.864029357,-12207755.518729236
50,-24002692.395737853,-24029095.411758922
51,-21319196.11956588,-21345457.7279095
52,-9361939.658233449,-9385587.481529528
53,-8122031.341285454,-8145307.555210103
54,-8816218.44295959,-8839866.26625567
55,-2090447.509841625,-2109799.4306773664
56,-13664279.793059358,-13689072.648260968
57,-6792166.695000861,-6815018.04252074
58,-11485110.829519114,-11509656.124723783
59,-16712463.092893692,-16737988.87566668
60,-15932079.97709776,-15957313.491294567
61,-23930307.512077965,-23957037.120756928
